t_bin,time_s,power_w
574,143.5,3012.897355668591
575,143.75,2994.0373174230363
576,144.0,3060.9612922501965
577,144.25,2967.956091164004
578,144.5,2990.873872319108
579,144.75,3043.9419694043945
580,145.0,3015.217444974666
581,145.25,3008.0233261751705
582,145.5,2972.9963589118242
583,145.75,3110.8689939625365
584,146.0,3117.2133132962845
585,146.25,3055.799214947934
586,146.5,3021.6431475557442
587,146.75,2995.8272602075576
588,147.0,2992.7278431600866
589,147.25,2990.0706159372344
590,147.5,3124.7490625938945
591,147.75,3123.4399404422434
592,148.0,3316.779785973926
593,148.25,3014.368210573095
594,148.5,3059.245551614662
595,148.75,2962.0284113808366
596,149.0,3053.4198986636034
597,149.25,3023.033893896896
598,149.5,3037.1352261141956
599,149.75,3035.237415015991
600,150.0,2969.034230540133
601,150.25,3061.3357459002673
602,150.5,3054.2291168671036
603,150.75,3099.221313003242
604,151.0,3081.8883227573065
605,151.25,3026.905120453216
606,151.5,3042.9329524769046
607,151.75,3042.2112659999975
608,152.0,2869.21981016515
609,152.25,3029.038471937003
610,152.5,2988.6586610319778
611,152.75,2992.1847866088806
612,153.0,3034.0925429923273
613,153.25,3030.3801843884667
614,153.5,3027.584407318237
615,153.75,3034.5654608904697
616,154.0,3054.3630153266336
617,154.25,3028.597260347852
618,154.5,2994.9276284722255
619,154.75,3075.895058454189
620,155.0,3036.4935555798343
621,155.25,3001.6887638409853
622,155.5,3058.673713903999
623,155.75,3113.3325907627277
624,156.0,3121.647579663694
625,156.25,3011.7802648802085
626,156.5,3025.1959535562096
627,156.75,3001.2179935507065
628,157.0,3192.8606361729167
629,157.25,3063.9695650360704
630,157.5,3031.9872208314114
631,157.75,3167.208348529312
632,158.0,2938.5634532790223
633,158.25,2977.1436872203467
634,158.5,3045.64701363666
635,158.75,3048.1398692765256
636,159.0,3027.4484524527747
637,159.25,3019.7491098070454
638,159.5,2960.604085215755
639,159.75,3070.07916886108
640,160.0,2989.21129588072
641,160.25,3046.899037085973
642,160.5,3037.2602840564386
643,160.75,2997.490107525447
644,161.0,3199.548675927056
645,161.25,3079.9994839187852
646,161.5,3045.908084143212
647,161.75,3002.107348920149
648,162.0,3012.9170052263185
649,162.25,3006.9063129511446
650,162.5,3030.3655261921817
651,162.75,2991.1281995883214
652,163.0,3180.8183427764507
653,163.25,3049.5212447060235
654,163.5,3080.750100177403
655,163.75,3100.793916180157
656,164.0,3000.6882119017455
657,164.25,2758.0504858949216
658,164.5,3002.8296531861656
659,164.75,3043.108636017891
660,165.0,3039.9201370789892
661,165.25,3005.4503293353714
662,165.5,3002.977238909837
663,165.75,3015.467218313495
664,166.0,2992.888751687436
665,166.25,3034.1285250769924
666,166.5,2999.5831890382738
667,166.75,2991.8032213468578
668,167.0,3008.9877914160093
669,167.25,3007.4496340342585
670,167.5,3033.868729737933
671,167.75,3026.2048275215197
672,168.0,3004.6114637855876
673,168.25,2983.2731583824884
674,168.5,2700.0923093652127
675,168.75,2977.6194056044033
676,169.0,3052.7367212908266
677,169.25,2999.1698847578823
678,169.5,3096.483373183194
679,169.75,3120.2405824741318
680,170.0,2982.820527443265
681,170.25,3014.468963554156
682,170.5,3025.61095015413
683,170.75,3073.265054946399
684,171.0,3046.2363020464495
685,171.25,2900.5701731815107
686,171.5,3157.707109377759
687,171.75,3146.9931600577543
688,172.0,3137.3344132913194
689,172.25,3002.540774973012
690,172.5,2962.482358598749
691,172.75,3012.934609135727
692,173.0,3060.382095057701
693,173.25,3022.2075527795937
694,173.5,2972.619324482001
695,173.75,3058.751121470077
696,174.0,3095.7283237268794
697,174.25,2986.154170299338
698,174.5,3164.9444419267743
699,174.75,2991.8895230746107
700,175.0,3123.109525430871
701,175.25,2930.8331826072163
702,175.5,3111.8577719092063
703,175.75,2974.735171670559
704,176.0,3008.676439852292
705,176.25,2980.622042359263
706,176.5,3073.001577311208
707,176.75,2945.450462012211
