t_bin,time_s,power_w
547,136.75,966.2128631533361
548,137.0,1298.4315259717325
549,137.25,1756.4956462047514
550,137.5,2060.225123184217
551,137.75,2395.107440359652
552,138.0,2531.7411328987864
553,138.25,2957.7884340076066
554,138.5,2928.4828844523677
555,138.75,2988.913021602177
556,139.0,2955.890449927116
557,139.25,2895.9227517556733
558,139.5,2942.2979950786334
559,139.75,2962.1231780004246
560,140.0,2906.1634741019598
561,140.25,2967.5102198259156
562,140.5,2924.01962523867
563,140.75,3109.456952914541
564,141.0,3016.6445810517566
565,141.25,3031.412869930616
566,141.5,3026.706140892299
567,141.75,3022.1677354846934
568,142.0,2984.1242984585538
569,142.25,3040.9625723680374
570,142.5,3018.8109657969308
571,142.75,3036.0731146692815
572,143.0,3018.3692825846742
573,143.25,2990.8018184026437
574,143.5,3002.067830348546
575,143.75,2989.4072441193107
576,144.0,2993.552733775239
577,144.25,3019.3340329316256
578,144.5,3039.372721119159
579,144.75,2975.0260879797256
580,145.0,2966.325936999825
581,145.25,2939.075659882386
582,145.5,2966.2335731050703
583,145.75,2931.7324483948714
584,146.0,3020.6853528849156
585,146.25,3034.3499315412096
586,146.5,2948.6321522540447
587,146.75,3006.078437030968
588,147.0,2942.4258923024354
589,147.25,2968.850480527676
590,147.5,3009.5354197615243
591,147.75,2985.5028108338206
592,148.0,3007.281762568959
593,148.25,2926.4801253432183
594,148.5,3048.6557812214924
595,148.75,2953.66382602956
596,149.0,2916.1881624937714
597,149.25,2960.0572994778154
598,149.5,2971.5121173423668
599,149.75,2962.9289157201847
600,150.0,2944.265929947694
601,150.25,2957.1179201512314
602,150.5,3022.2655902046
603,150.75,2978.675178229105
604,151.0,2806.7187419434385
605,151.25,2644.6409325630457
606,151.5,2717.314053592803
607,151.75,2190.343867877794
608,152.0,1618.2476134153353
609,152.25,1393.6686061115904
610,152.5,1462.9658946218856
611,152.75,1378.8928213827749
612,153.0,1391.9456049817156
613,153.25,973.6100581607843
614,153.5,953.3483786346518
615,153.75,1694.5019920727786
616,154.0,1499.8647886205717
617,154.25,1988.7167836695864
618,154.5,1010.3677283403531
619,154.75,1309.9798045178609
620,155.0,1135.1958722277636
621,155.25,1557.1328033491936
622,155.5,2324.841299145904
623,155.75,3086.7504992764516
624,156.0,3025.9440637729504
625,156.25,3034.3148539212834
626,156.5,2989.4803782380022
627,156.75,2937.033679348489
628,157.0,2960.844562406918
629,157.25,2906.5823253392214
630,157.5,2987.0783024742605
631,157.75,3022.121449571898
632,158.0,2952.95731038439
633,158.25,2948.4041154730635
634,158.5,2315.437607967629
635,158.75,1924.2713774539432
636,159.0,1392.0843090272217
637,159.25,1282.0839563613802
638,159.5,974.0532854108382
639,159.75,957.2139481298358
640,160.0,950.9436478384516
641,160.25,1386.6572858685288
642,160.5,947.2703840456887
643,160.75,953.8837691366136
644,161.0,968.2600186768275
645,161.25,972.3214927561505
646,161.5,946.1993790661146
647,161.75,957.5312012415449
648,162.0,960.8112034210944
649,162.25,959.0599494117567
650,162.5,951.1560945421559
651,162.75,967.8630007439681
652,163.0,1092.697782496148
