t_bin,time_s,power_w
564,141.0,518.4353877551348
565,141.25,515.259443483435
566,141.5,616.5958206683082
567,141.75,762.6142554084163
568,142.0,1151.6347403696282
569,142.25,1145.0866239263898
570,142.5,1149.2560238077904
571,142.75,1152.5688724975616
572,143.0,1154.303839441793
573,143.25,1154.8874476463513
574,143.5,1052.3495157042998
575,143.75,1277.3580341254628
576,144.0,1214.8996227747916
577,144.25,1297.2818247095356
578,144.5,1316.0744750345743
579,144.75,1497.5619271164433
580,145.0,1300.9948439440848
581,145.25,1455.1498866596446
582,145.5,1451.8558160068035
583,145.75,1363.0515321503592
584,146.0,1311.1665503665265
585,146.25,1239.1837275282599
586,146.5,1235.6858185750707
587,146.75,1155.295887337457
588,147.0,1166.6483379373294
589,147.25,1156.6755744853283
590,147.5,1060.3451258118334
591,147.75,639.2510498083511
592,148.0,632.8846574360986
593,148.25,982.2840243621288
594,148.5,1069.5589506666124
595,148.75,1435.9382492836135
596,149.0,1231.815022953799
597,149.25,1239.3279560953406
598,149.5,1215.736550112864
599,149.75,1167.21437525173
600,150.0,980.1416416355382
601,150.25,635.0043368253368
602,150.5,633.3806915416864
603,150.75,640.1362568281664
604,151.0,640.9746298567271
605,151.25,631.9679507096511
606,151.5,635.3070097439672
607,151.75,666.5817042966862
608,152.0,691.6646649145804
609,152.25,515.3066371245005
610,152.5,516.6239568726323
611,152.75,518.4147342077636
612,153.0,516.4417979656915
613,153.25,516.5618474366881
614,153.5,516.4318324035446
615,153.75,515.3254184504755
616,154.0,517.2795338487492
617,154.25,517.6512870472117
618,154.5,515.187740556414
619,154.75,517.3561549861403
620,155.0,518.8107024454639
621,155.25,517.5108902453014
622,155.5,518.5787508062286
623,155.75,516.4180929900011
624,156.0,519.1876998077971
625,156.25,516.0762135515888
626,156.5,519.9328612182846
627,156.75,516.5627590433364
628,157.0,891.5234891870945
629,157.25,566.6757206680819
630,157.5,1153.1176880272233
631,157.75,1152.459743118476
632,158.0,1150.8568373827125
633,158.25,1153.7979173467754
634,158.5,1161.9174096864758
635,158.75,682.0800568346735
636,159.0,636.7883821991767
637,159.25,642.8584082158911
638,159.5,634.2376929886924
639,159.75,634.1195283350118
640,160.0,633.7236849316698
641,160.25,640.4124507645699
642,160.5,523.8317709689966
643,160.75,515.1931565106931
644,161.0,707.7899908857249
645,161.25,1215.682905191554
646,161.5,1167.4490669429024
647,161.75,1144.2832785141163
648,162.0,1156.562009333316
649,162.25,1163.2582665813482
650,162.5,999.7922696892591
651,162.75,1143.2387317123755
652,163.0,636.7548206953035
653,163.25,631.5178170403992
654,163.5,633.3158349561569
655,163.75,1174.0343666824672
656,164.0,1161.9982690163063
657,164.25,1144.4573427469415
658,164.5,1173.4557868539168
659,164.75,639.8313744504304
660,165.0,635.7153434857302
661,165.25,640.2968500870597
662,165.5,635.5671318064445
663,165.75,637.2935572627559
664,166.0,638.9858844289217
665,166.25,557.077469326893
666,166.5,499.35853284951526
667,166.75,826.986329407758
668,167.0,516.1906836397887
669,167.25,637.2708055747603
670,167.5,637.8282806152843
671,167.75,637.7953705243831
672,168.0,640.0391987587157
673,168.25,634.6069434912276
674,168.5,714.7507022782356
675,168.75,520.0843891549935
676,169.0,647.7676296185468
677,169.25,636.1849424126481
678,169.5,705.0708095641689
679,169.75,666.0852866249195
680,170.0,636.1197692633044
681,170.25,963.2998758018477
682,170.5,1150.3477988795598
683,170.75,1146.8322027404563
684,171.0,1161.818654588461
685,171.25,1166.0856779328587
686,171.5,1188.0618575884264
687,171.75,1155.790651613657
688,172.0,1069.3615937982702
689,172.25,1152.9017302087664
690,172.5,635.099725898389
691,172.75,636.5231507591351
692,173.0,630.4312244443196
693,173.25,637.8028797935949
694,173.5,636.901819400154
695,173.75,646.2101327929292
696,174.0,684.6843029544774
697,174.25,636.7022564554998
698,174.5,517.1779128076139
699,174.75,519.666591169535
700,175.0,728.189176359604
701,175.25,638.7475717429728
702,175.5,637.5384939714082
703,175.75,792.5894441635745
704,176.0,1153.6941547344277
705,176.25,1154.9863456362868
706,176.5,1063.1186828120362
707,176.75,644.7133453406417
708,177.0,630.7924320124735
709,177.25,614.9163833756459
710,177.5,639.6051200858963
711,177.75,639.7198956312128
712,178.0,644.5454761043937
713,178.25,632.6335833259882
714,178.5,635.1453877502767
715,178.75,638.4077604348457
716,179.0,632.3303603472727
717,179.25,598.6409462601168
718,179.5,516.0852193721022
719,179.75,693.4946753710633
720,180.0,515.6726246447655
721,180.25,516.3580012841907
722,180.5,519.2632491616746
723,180.75,519.6912419514547
724,181.0,518.4465361063191
725,181.25,515.9460950681179
726,181.5,515.9566045456959
727,181.75,515.889871136751
728,182.0,515.5502428099078
729,182.25,929.7746844913373
730,182.5,1166.7411849393598
731,182.75,1158.1755126460844
732,183.0,1150.180382197663
733,183.25,881.3465439952267
734,183.5,547.1532021300306
735,183.75,642.682628747565
736,184.0,715.4492434111447
737,184.25,639.0731129417484
738,184.5,632.4554046211299
739,184.75,633.9207604025224
740,185.0,632.2599837024876
741,185.25,685.8689057139921
742,185.5,637.6848701950021
743,185.75,801.5031444394064
744,186.0,1147.807780803904
745,186.25,1147.3308814002423
746,186.5,1161.09199207374
747,186.75,1160.8573768973013
748,187.0,636.8936944674876
749,187.25,630.175396308479
750,187.5,643.5512814445668
751,187.75,640.1642788551816
752,188.0,639.5046702806969
753,188.25,635.6696058144554
754,188.5,640.4310773524937
755,188.75,635.7875950605993
756,189.0,517.2179963472606
757,189.25,516.8814987703815
758,189.5,703.9046680104858
759,189.75,636.1158118226101
760,190.0,599.4872169849543
761,190.25,642.1912334826085
762,190.5,638.7956335327564
763,190.75,637.8403963516549
764,191.0,516.7953151473143
765,191.25,641.5800781081733
766,191.5,579.2774155605058
767,191.75,517.8199326639609
768,192.0,520.0702218165396
769,192.25,517.714238475543
770,192.5,516.0022968728832
771,192.75,515.3992418643634
772,193.0,517.345915891593
773,193.25,515.3600089326028
774,193.5,514.8294150015186
775,193.75,516.0333052009046
776,194.0,515.5467712919773
777,194.25,518.3909907531302
778,194.5,515.0298871356794
779,194.75,519.409265583564
780,195.0,878.9279287610619
781,195.25,628.4285872963394
782,195.5,640.4471222755511
783,195.75,638.7112476304037
784,196.0,640.6310506726156
785,196.25,634.0303942878736
786,196.5,629.062512007785
787,196.75,637.0558924918774
788,197.0,510.8878513084192
789,197.25,582.4424199411119
790,197.5,1104.034893627244
791,197.75,951.4810354281896
792,198.0,1063.6742705852666
793,198.25,1183.5992302083723
794,198.5,1211.642450391195
795,198.75,1066.401679808692
796,199.0,1057.1861953920804
797,199.25,638.9026886492711
798,199.5,633.6395661970347
799,199.75,638.6356181675736
800,200.0,636.0449484434323
801,200.25,641.6126498260003
802,200.5,641.0962938788651
803,200.75,637.8235312123535
804,201.0,1217.64663658431
805,201.25,1159.4386097191598
806,201.5,1076.5734369104011
807,201.75,1164.6043173336852
808,202.0,1157.2324063502833
809,202.25,1158.5450661334003
810,202.5,1168.8912446938766
811,202.75,631.5549697142485
812,203.0,639.973351018841
813,203.25,634.4073537105247
814,203.5,643.1355125253157
815,203.75,636.0023657723203
816,204.0,1218.6958194866704
817,204.25,1147.2711082709536
818,204.5,1156.3111151053156
819,204.75,1088.681959400385
820,205.0,1206.4305147191062
821,205.25,1059.5750677645829
822,205.5,1152.6692165291222
823,205.75,1093.43815323261
824,206.0,641.6599411032669
825,206.25,638.0022033674221
826,206.5,640.0589999652758
827,206.75,627.7466277364663
828,207.0,644.2922458656958
829,207.25,638.6707437677001
830,207.5,632.5197704474361
831,207.75,642.588047427149
832,208.0,516.2943315886639
833,208.25,515.7209870353363
834,208.5,517.964001749979
835,208.75,517.7895634651351
836,209.0,926.0256102369563
837,209.25,1155.889198256239
838,209.5,537.3020976607248
839,209.75,1058.5758314796378
840,210.0,1163.8546814734868
841,210.25,1167.270725969195
842,210.5,1070.8591177727324
843,210.75,1356.3621653519704
844,211.0,1153.2724867863087
845,211.25,1219.6311588783333
846,211.5,1192.5933383969361
847,211.75,1282.8921454466795
848,212.0,1204.9637913342426
849,212.25,1159.8631846307208
850,212.5,1156.5099462626217
851,212.75,1145.068359984412
852,213.0,1172.3516959780754
853,213.25,636.6501586073043
854,213.5,635.1332234932629
855,213.75,638.5439106724922
856,214.0,634.6329628200008
857,214.25,638.2156035954846
858,214.5,634.3936335876539
859,214.75,640.283910272405
860,215.0,628.4933534012933
861,215.25,515.2387000530379
862,215.5,518.7120170077111
863,215.75,637.5103053437638
