timestamp,num_requests_running,num_requests_waiting,gpu_cache_usage_perc,prompt_tokens_total,generation_tokens_total,iteration_tokens_total_sum,iteration_tokens_total_count,request_prefill_time_seconds_sum,request_decode_time_seconds_sum,num_preemptions_total,prefix_cache_queries_total,prefix_cache_hits_total
1784658673.9877183,1.0,0.0,0.02364056769255307,826233.0,21476.0,847709.0,4451.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658674.246056,1.0,0.0,0.02368043374262474,826233.0,21495.0,847728.0,4470.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658674.501963,1.0,0.0,0.0237601658427683,826233.0,21515.0,847748.0,4490.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658674.7598286,1.0,0.0,0.02380003189284008,826233.0,21535.0,847768.0,4510.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658675.0186207,1.0,0.0,0.02383989794291186,826233.0,21555.0,847788.0,4530.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658675.2781494,1.0,0.0,0.023879763992983527,826233.0,21574.0,847807.0,4549.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658675.5368662,1.0,0.0,0.023959496093127086,826233.0,21594.0,847827.0,4569.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658675.7937424,1.0,0.0,0.023999362143198866,826233.0,21614.0,847847.0,4589.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658676.0507462,1.0,0.0,0.024039228193270645,826233.0,21634.0,847867.0,4609.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658676.309538,1.0,0.0,0.024079094243342425,826233.0,21653.0,847886.0,4628.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658676.568616,1.0,0.0,0.024118960293414093,826233.0,21673.0,847906.0,4648.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658676.8270144,1.0,0.0,0.024198692393557653,826233.0,21693.0,847926.0,4668.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658677.0840292,1.0,0.0,0.024238558443629432,826233.0,21713.0,847946.0,4688.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658677.3411639,1.0,0.0,0.02427842449370121,826233.0,21732.0,847965.0,4707.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658677.5997672,1.0,0.0,0.02431829054377288,826233.0,21752.0,847985.0,4727.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658677.8580894,1.0,0.0,0.02439802264391644,826233.0,21772.0,848005.0,4747.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658678.1162472,1.0,0.0,0.02443788869398822,826233.0,21791.0,848024.0,4766.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658678.3720572,1.0,0.0,0.02447775474406,826233.0,21811.0,848044.0,4786.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658678.6298668,1.0,0.0,0.024517620794131667,826233.0,21831.0,848064.0,4806.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658678.8879669,1.0,0.0,0.024597352894275226,826233.0,21850.0,848083.0,4825.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658679.1466143,1.0,0.0,0.024637218944347006,826233.0,21870.0,848103.0,4845.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658679.405404,1.0,0.0,0.024677084994418785,826233.0,21890.0,848123.0,4865.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658679.6614099,1.0,0.0,0.024716951044490565,826233.0,21909.0,848142.0,4884.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658679.919643,1.0,0.0,0.024756817094562233,826233.0,21929.0,848162.0,4904.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
1784658680.1781502,1.0,0.0,0.024836549194705793,826233.0,21949.0,848182.0,4924.0,21.989645939320326,432.3123116577044,0.0,826233.0,724912.0
